1,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,785000,-,463,Strata,16 to 20,1696,Jul-2021
2,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1488000,-,958,Strata,01 to 05,1553,Jul-2021
3,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,1602440,-,678,Strata,11 to 15,2363,Jul-2021
4,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,750000,-,463,Strata,01 to 05,1620,Jul-2021
5,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1540000,-,958,Strata,11 to 15,1608,Jul-2021
6,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1010000,-,667,Strata,06 to 10,1513,Jul-2021
7,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1460000,-,947,Strata,11 to 15,1541,Jul-2021
8,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1480000,-,947,Strata,01 to 05,1562,Jul-2021
9,CENTRAL GROVE,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 1997,Resale,1,1400000,-,1238,Strata,16 to 20,1131,Jul-2021
10,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,1621840,-,721,Strata,06 to 10,2249,Jul-2021
11,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1188000,-,786,Strata,06 to 10,1512,Jul-2021
12,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,980000,-,667,Strata,01 to 05,1468,Jul-2021
13,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1878000,-,1206,Strata,06 to 10,1558,Jul-2021
14,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,2622579,-,1163,Strata,21 to 25,2256,Jun-2021
15,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1120000,-,710,Strata,06 to 10,1577,Jun-2021
16,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,4280000,-,1582,Strata,21 to 25,2705,Jun-2021
17,CENTRAL GROVE,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 1997,Resale,1,1250000,-,1173,Strata,06 to 10,1065,Jun-2021
18,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,2598142,-,1163,Strata,16 to 20,2235,Jun-2021
19,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,2923154,-,1173,Strata,26 to 30,2491,Jun-2021
20,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,1738000,-,667,Strata,21 to 25,2604,Jun-2021
21,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,6750000,-,2110,Strata,21 to 25,3199,Jun-2021
22,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,675000,-,409,Strata,06 to 10,1650,Jun-2021
23,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,688000,-,409,Strata,11 to 15,1682,Jun-2021
24,THE PATERSON,PATERSON ROAD,Condominium,09,CCR,Freehold,Resale,1,2700000,-,1206,Strata,06 to 10,2240,Jun-2021
25,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,4006237,-,1593,Strata,21 to 25,2515,Jun-2021
26,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,4430000,-,1582,Strata,26 to 30,2800,Jun-2021
27,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,990888,-,710,Strata,11 to 15,1395,May-2021
28,SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,760000,-,463,Strata,06 to 10,1642,May-2021
29,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,685000,-,420,Strata,01 to 05,1632,May-2021
30,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,3460537,-,1593,Strata,06 to 10,2172,May-2021
31,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,1763342,-,753,Strata,21 to 25,2340,May-2021
32,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,1691910,-,732,Strata,11 to 15,2312,May-2021
33,THE PATERSON,PATERSON ROAD,Condominium,09,CCR,Freehold,Resale,1,3020000,-,1421,Strata,01 to 05,2125,May-2021
34,TRE RESIDENCES,GEYLANG EAST AVENUE 1,Condominium,14,RCR,99 yrs lease commencing from 2014,Resale,1,1475000,-,947,Strata,11 to 15,1557,May-2021
35,MARINA ONE RESIDENCES,MARINA WAY,Apartment,01,CCR,99 yrs lease commencing from 2011,Resale,1,4320000,-,1582,Strata,21 to 25,2730,May-2021
